unitID,unitCode,houseNo,floor,roomNo,price,restriction,tenantID,bedspaceNo,status,created_at,updated_at
35,H2F2RA-1,2,2,A,2900,girls,107,1,occupied,2026/01/20 08:15:32,2026/01/22 09:15:32
36,H2F2RA-2,2,2,A,2900,girls,,2,available,2026/01/20 08:15:32,2026/01/22 10:42:10
37,H2F2RA-3,2,2,A,2900,girls,,3,available,2026/01/20 08:15:32,2026/01/22 11:03:55
38,H2F2RA-4,2,2,A,2900,girls,122,4,occupied,2026/01/20 08:15:32,2026/01/22 13:25:44
39,H2F2RA-5,2,2,A,2900,girls,,5,available,2026/01/20 08:15:32,2026/01/23 07:12:09
40,H2F2RA-6,2,2,A,2900,girls,,6,available,2026/01/20 08:15:32,2026/01/23 08:45:27
41,H2F2RA-7,2,2,A,2900,girls,110,7,occupied,2026/01/20 08:15:32,2026/01/22 08:39:55
42,H2F2RA-8,2,2,A,2900,girls,,8,available,2026/01/20 08:15:32,2026/01/22 09:15:32
43,H2F2RA-9,2,2,A,2900,girls,,9,available,2026/01/20 08:15:32,2026/01/22 10:42:10
44,H2F2RA-10,2,2,A,2900,girls,120,10,occupied,2026/01/20 08:15:32,2026/01/22 11:03:55
45,H2F2RB-1,2,2,B,3300,girls,,1,available,2026/01/20 08:15:32,2026/01/22 13:25:44
46,H2F2RB-2,2,2,B,3300,girls,,2,available,2026/01/20 08:15:32,2026/01/23 07:12:09
47,H2F2RB-3,2,2,B,3300,girls,,3,available,2026/01/20 08:15:32,2026/01/23 08:45:27
48,H2F2RB-4,2,2,B,3300,girls,,4,available,2026/01/20 08:15:32,2026/01/22 08:39:55
49,H2F2RB-5,2,2,B,3300,girls,,5,available,2026/01/20 08:15:32,2026/01/22 09:15:32
50,H2F2RB-6,2,2,B,3300,girls,,6,available,2026/01/20 08:15:32,2026/01/22 10:42:10
